author,comments,name,press,price,rank
英国DK公司,102949条评论,DK幼儿百科全书——那些重要的事,中国大百科全书出版社,¥69.00,42.
尤瓦尔·赫拉利,420787条评论,见识城邦·人类简史：从动物到上帝（新版）  一本好书 腾讯视频栏,中信出版社,¥40.80,43.
孙幼军,282697条评论,小猪唏哩呼噜(注音版上、下),春风文艺出版社,¥17.40,44.
高铭,1060467条评论,天才在左 疯子在右(2018全新完整版),北京联合出版有限公司,¥24.90,45.
刘慈欣,4654条评论,流浪地球,万卷出版公司,¥17.50,46.
稻盛和夫,173334条评论,活法,东方出版社,¥16.20,161.
玛丽.居里,19439条评论,居里夫人传（初中语文课外阅读经典读本 教育部推荐中小学生新课标,团结出版社,¥15.50,185.
太宰治,894016条评论,人间失格（日本小说家太宰治的自传体小说）,作家出版社,¥10.50,1.
海明威,264526条评论,诺奖少年版（全套30册）2018年中童书畅销榜TOP3！日销售ZUI高达5,辽宁少年儿童出版社,¥237.60,201.
路遥,900145条评论,平凡的世界：全三册（朱一龙推荐，八年级下册自主阅读推荐）,北京十月文艺出版社,¥74.50,47.
傅雷,17887条评论,傅雷家书（部编本语文教材八年级下册推荐阅读）,北岳文艺出版社,¥22.60,48.
东野圭吾,2035963条评论,东野圭吾：解忧杂货店（王俊凯、迪丽热巴主演，这家店帮你找回内,南海出版公司,¥27.30,49.
玛丽,22700条评论,国际大奖科普绘本（全6册） 获美国妈妈最佳选择奖金奖、美国月光,辽宁少年儿童出版社,¥58.10,50.
伍绮诗,345529条评论,无声告白（就是她！征服欧美文坛的华裔作家！）,江苏文艺出版社,¥17.50,162.
周霞,11354条评论,拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习必备启蒙书,电子工业出版社,¥49.50,163.
史蒂芬·柯维,213743条评论,高效能人士的七个习惯（30周年纪念版）：打造一套全新的思维方式,中国青年出版社,¥58.50,164.
杉泽,74180条评论,观山海（“百鬼画师”杉泽绝美诠释山海经）,湖南文艺出版社,¥92.40,165.
蕊希,87774条评论,总要习惯一个人（蕊希2018年全新力作）,湖南文艺出版社,¥24.90,166.
太宰治,14585条评论,人间失格（新版！太宰治逝世70周年无删节典藏版，日本野间文艺翻,江苏文艺出版社,¥19.90,167.
吴敬梓,126157条评论,儒林外史(56回全本，内容考证、文字句读全新修订版。),花山文艺出版社,¥11.70,168.
路遥,267069条评论,人生（影响千万青年的励志名篇-- 马云、贾樟柯倾情推荐！）,北京十月文艺出版社,¥18.80,186.
张瑞征,40045条评论,小学生必背文言文 学生版 教育部（语文课程标准）指定篇目,中国少年儿童出版社,¥14.10,187.
